Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-11-20 16:39:12.103,US19260Q1076,COIN,"Coinbase",,EOF23803120753,0.4989771000,315.500000,USD,1.05105671,,"EUR",150.00,"EUR",,,,,,,,,0.22,"EUR"
Stop buy,2024-11-20 16:43:25.402,US67066G1040,NVDA,"Nvidia",,EOF23803121715,1.1000000000,145.330000,USD,1.05124613,,"EUR",152.30,"EUR",,,,,,,,,0.23,"EUR"
Market buy,2024-11-20 21:28:14.593,US67066G1040,NVDA,"Nvidia",,EOF23805502493,1.4017266000,142.700000,USD,1.05432419,,"EUR",190.00,"EUR",,,,,,,,,0.28,"EUR"
Market buy,2024-11-21 14:45:21.064,US19260Q1076,COIN,"Coinbase",,EOF23850686941,0.0157042000,308.000000,USD,1.05378945,,"EUR",4.60,"EUR",,,,,,,,,0.01,"EUR"
Deposit,2024-11-28 09:50:36,,,,"Transaction ID: MNP3XLR4783L3VX3",54c54e1e-c140-4ea4-b678-b6c9f6ee1e5a,,,,,,,3000.00,"EUR",,,3021.00,"EUR",-21.00,"EUR",,,,
Market buy,2024-11-29 09:46:39.648,IE00B4ND3602,SGLN,"iShares Physical Gold",,EOF24203451151,61.1408417900,4075.000000,GBX,83.17190613,,"EUR",3000.08,"EUR",,,,,,,,,4.49,"EUR"
Stop sell,2024-11-29 10:00:22.166,IE00B4ND3602,SGLN,"iShares Physical Gold",,EOF24203452409,62.0000000000,4077.000000,GBX,83.19093757,10.51,"EUR",3033.92,"EUR",,,,,,,,,4.56,"EUR"
Stop sell,2024-11-29 10:37:57.003,US19260Q1076,COIN,"Coinbase",,EOF24203455882,0.0035000000,311.700000,USD,1.05917475,-0.02,"EUR",1.03,"EUR",,,,,,,,,,
Stop sell,2024-11-29 11:07:56.459,IE00B4ND3602,SGLN,"iShares Physical Gold",,EOF24203458576,9.5597131300,4074.000000,GBX,83.23453504,1.03,"EUR",467.21,"EUR",,,,,,,,,0.70,"EUR"
Market sell,2024-11-29 16:34:49.179,US19260Q1076,COIN,"Coinbase",,EOF24255027984,1.3382230000,310.090000,USD,1.05523094,-9.71,"EUR",392.66,"EUR",,,,,,,,,0.59,"EUR"
Withdrawal,2024-12-02 16:19:40,,,,"Sent to card **** 3809",dd135c92-da69-47d1-b296-c0337a2fc766,,,,,,,-800.00,"EUR",,,,,,,,,,
Stop limit buy,2024-12-02 16:53:14.658,US06684L1035,BZUN,"Baozun",,EOF24408629036,123.0000000000,2.700000,USD,1.04829545,,"EUR",317.28,"EUR",,,,,,,,,0.48,"EUR"
Market sell,2024-12-02 17:34:41.868,US67066G1040,NVDA,"Nvidia",,EOF24408637160,26.3076952000,139.160000,USD,1.04888889,-99.60,"EUR",3485.10,"EUR",,,,,,,,,5.24,"EUR"
Stop limit buy,2024-12-02 18:48:37.395,US67066G1040,NVDA,"Nvidia",,EOF24408648390,25.2500000000,138.840000,USD,1.04868126,,"EUR",3347.98,"EUR",,,,,,,,,5.01,"EUR"
Market sell,2024-12-02 18:56:34.535,US06684L1035,BZUN,"Baozun",,EOF24408649822,91.1700000000,2.720000,USD,1.04864005,1.66,"EUR",236.13,"EUR",,,,,,,,,0.35,"EUR"
